source;target;Dijkstra time;Dijkstra iteration;Dijkstra path weight;Dijkstra path length;Bidirectional Dijkstra time;Bidirectional Dijkstra iteration;Bidirectional Dijkstra path weight;Bidirectional Dijkstra path length
6287;2716;25;7087;9659;90;28;5636;9659;90
7921;3371;17;8965;6426;64;8;3726;6426;64
2842;2285;24;9564;8142;74;16;5976;8142;75
1992;4180;16;8489;7368;63;18;5649;7368;63
4937;8960;0;1249;2113;21;0;633;2113;21
5314;3150;8;2395;4482;40;13;2059;4482;40
511;2077;12;8435;7902;64;20;6161;7902;64
2463;7923;9;3005;3347;29;9;1091;3347;29
4401;9772;10;5549;6316;50;11;4417;6316;50
5987;3133;20;7921;8366;77;19;6754;8366;77
2849;320;18;9530;6591;59;11;4134;6591;59
4167;963;8;2873;3754;35;8;1899;3754;35
7897;2257;16;9206;9215;87;17;7019;9215;87
9870;9775;17;7043;6948;58;15;4809;6948;58
5220;1203;1;389;1162;13;0;185;1162;13
6962;350;8;2657;3821;38;3;1998;3821;38
3446;8216;20;9391;10070;92;20;6804;10070;92
2508;1347;16;5446;6669;63;13;4323;6669;63
9995;1471;10;4027;4413;40;1;2149;4413;40
1970;6040;16;9707;10868;98;25;7564;10868;98
7757;3303;16;8140;6642;62;14;4952;6642;62
7002;2706;0;134;696;9;0;73;696;9
6351;1428;16;8304;8601;80;17;6014;8601;80
3693;975;18;6495;7907;64;8;3911;7907;64
2806;6412;16;7340;7845;81;18;6107;7845;81
2183;2255;0;1171;3352;20;8;843;3352;20
7064;8159;8;4046;3895;34;8;2151;3895;34
6971;61;8;4093;4599;43;8;2383;4599;43
7692;6385;8;727;1868;17;0;479;1868;17
6515;1016;11;5182;6143;54;16;3974;6143;54
8961;9766;19;9171;7756;69;20;5849;7756;69
4789;4370;16;7537;7380;67;10;4138;7380;67
8859;6984;9;1402;3222;32;0;1198;3222;33
1602;8916;0;150;708;9;8;82;708;9
9688;7592;8;3138;5390;43;9;2590;5390;43
5192;1900;0;1022;2887;29;0;822;2887;29
4512;7711;16;4861;4338;39;8;1848;4338;39
7495;1092;2;866;1780;18;2;498;1780;18
2011;63;17;8688;9664;82;29;6885;9664;82
1360;4976;1;2080;2850;23;11;1178;2850;23
3628;5899;19;6021;7632;61;10;4772;7632;61
9736;9332;32;9448;7797;73;29;5274;7797;73
75;1199;16;7740;8463;77;17;6113;8463;77
1677;6975;9;2917;3893;35;8;1877;3893;35
1489;3421;8;3043;3458;34;11;1769;3458;34
8256;664;8;7335;7329;69;25;6267;7329;69
2076;3862;8;3266;4563;42;8;2627;4563;42
3200;5876;8;7112;5599;47;20;3595;5599;47
2082;738;1;1429;2385;22;0;872;2385;22
5080;9985;0;1928;3531;32;11;1194;3531;32
6115;524;22;6262;4988;48;11;3203;4988;48
1262;1331;9;2416;2952;26;0;857;2952;26
9111;6412;14;5138;5571;53;12;3509;5571;53
5308;2520;16;4503;4040;36;4;2311;4040;36
5110;866;9;4642;5895;49;21;4013;5895;49
8539;6393;10;9296;10336;96;24;6290;10336;96
4166;8604;17;9369;8717;77;16;6741;8717;77
7163;2863;7;4458;6354;60;16;3900;6354;60
6415;1540;8;2167;2935;27;1;1174;2935;27
8928;5936;0;630;2093;21;9;519;2093;21
4363;7785;12;3644;3927;35;10;2251;3927;35
