n°	source	destination	distance	nb itérations simple	nb itérations bidir	temps simple (ms)	temps bidir (ms)
510	7605	9313	7390	7391	5285	90.153	94.4624
511	3682	7316	5810	3675	3181	50.1205	38.5226
512	6519	6839	3876	3175	1840	27.9735	17.0802
513	538	3504	8728	8872	5334	68.7443	43.6182
514	4133	5718	4692	2936	2153	27.814	18.3481
515	9805	3004	4761	3009	2457	24.5244	22.0025
516	3546	2951	9201	9828	6565	71.8716	55.3631
517	5693	9302	6281	7111	5106	80.2072	70.1433
518	295	8108	5049	5193	3577	66.0787	45.2851
519	8436	8257	7752	6363	4639	64.7093	54.7847
520	3487	4530	4854	5276	2953	49.1884	26.4559
521	4933	353	8877	7352	6069	57.9031	51.1612
522	9167	5408	9989	8429	5950	62.326	47.8965
523	688	2050	7568	9007	5802	66.1909	47.4928
524	2651	6559	1232	403	190	3.3843	1.912
