source;target;path length;path weight;Dijkstra time;Dijkstra iteration;Bidirectional Dijkstra time;Bidirectional Dijkstra iteration;
8863;5844;1;0;;19;4712;20;3502
5339;11;1;0;;22;4712;17;3502
23;3359;1;0;;15;4712;13;3502
4046;9018;1;0;;22;4712;23;3502
3485;3173;1;0;;16;4712;9;3502
158;2956;1;0;;12;4712;8;3502
8293;9000;1;0;;22;4712;26;3502
9819;4608;1;0;;8;4712;10;3502
4834;5266;1;0;;11;4712;11;3502
7415;170;1;0;;2;4712;1;3502
9821;5662;1;0;;12;4712;12;3502
2769;2915;1;0;;7;4712;5;3502
3093;2020;1;0;;17;4712;11;3502
639;6366;1;0;;14;4712;11;3502
8416;2991;1;0;;20;4712;15;3502
5274;3577;1;0;;21;4712;15;3502
879;3501;1;0;;3;4712;2;3502
1523;7324;1;0;;8;4712;5;3502
7839;3682;1;0;;24;4712;25;3502
2356;1041;1;0;;11;4712;14;3502
9836;5481;1;0;;0;4712;0;3502
6449;9280;1;0;;23;4712;24;3502
8352;7737;1;0;;5;4712;4;3502
236;4597;1;0;;20;4712;23;3502
889;8591;1;0;;21;4712;19;3502
8312;6608;1;0;;22;4712;22;3502
3065;2654;1;0;;22;4712;23;3502
2950;3337;1;0;;18;4712;10;3502
8023;8800;1;0;;2;4712;3;3502
1787;8638;1;0;;23;4712;24;3502
5539;4391;1;0;;2;4712;2;3502
5683;7995;1;0;;23;4712;27;3502
854;9892;1;0;;20;4712;13;3502
5806;5413;1;0;;18;4712;14;3502
3575;6963;1;0;;22;4712;24;3502
1448;5475;1;0;;3;4712;3;3502
3530;897;1;0;;18;4712;20;3502
6231;2889;1;0;;20;4712;21;3502
4020;1323;1;0;;6;4712;7;3502
6461;3362;1;0;;31;4712;25;3502
1241;981;1;0;;9;4712;3;3502
7069;6425;1;0;;6;4712;6;3502
7894;2884;1;0;;16;4712;9;3502
5099;9252;1;0;;19;4712;18;3502
2971;537;1;0;;7;4712;5;3502
364;3246;1;0;;18;4712;14;3502
5056;1274;1;0;;22;4712;20;3502
1021;4000;1;0;;5;4712;2;3502
1624;4030;1;0;;17;4712;16;3502
5711;5659;1;0;;16;4712;13;3502
9859;7204;1;0;;21;4712;19;3502
9103;6244;1;0;;19;4712;17;3502
5773;8145;1;0;;21;4712;21;3502
2020;9532;1;0;;17;4712;16;3502
9108;7316;1;0;;12;4712;8;3502
4818;8427;1;0;;24;4712;28;3502
1207;6392;1;0;;21;4712;16;3502
1739;8825;1;0;;8;4712;6;3502
329;8181;1;0;;17;4712;16;3502
213;3913;1;0;;7;4712;9;3502
4901;1475;1;0;;21;4712;23;3502
5943;8514;1;0;;19;4712;23;3502
6236;9741;1;0;;13;4712;12;3502
8077;9338;1;0;;4;4712;4;3502
1161;5694;1;0;;3;4712;2;3502
7115;4625;1;0;;23;4712;19;3502
6614;3626;1;0;;18;4712;14;3502
4093;7016;1;0;;1;4712;2;3502
4616;299;1;0;;2;4712;2;3502
477;6957;1;0;;15;4712;9;3502
1796;9687;1;0;;4;4712;1;3502
7214;9748;1;0;;2;4712;1;3502
1429;474;1;0;;11;4712;10;3502
6965;6627;1;0;;2;4712;1;3502
8166;3126;1;0;;2;4712;1;3502
7816;3466;1;0;;17;4712;10;3502
3513;1875;1;0;;13;4712;10;3502
1198;5501;1;0;;21;4712;27;3502
